"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
7026,67,0.822351426666667,142,39.4285714285714,4539.61904761905,"NBCD_MZ44_BAW_height.tif"
7027,76,0.80222192,155,105.333333333333,6667.06666666667,"NBCD_MZ44_BAW_height.tif"
7028,71,0.83946126,0,0,0,"NBCD_MZ44_BAW_height.tif"
7029,61,0.81961324,162,136,3604,"NBCD_MZ44_BAW_height.tif"
7103,62,0.83123146,185,180.5,60.3,"NBCD_MZ37a_BAW_height.tif"
7109,47,0.798619253333333,0,0,0,"NBCD_MZ45_BAW_height.tif"
7114,55,0.823060773333333,172,159,210,"NBCD_MZ44_BAW_height.tif"
14001,66,0.841121643035307,0,36.5,5329,"NBCD_MZ03_BAW_height.tif"
14003,82,0.685583760683761,222,207.285714285714,525.904761904762,"NBCD_MZ07_BAW_height.tif"
14006,76,0.862303842105263,310,337.833333333333,1199.76666666667,"NBCD_MZ03_BAW_height.tif"
14014,72,0.730013394256423,208,169,6898.8,"NBCD_MZ03_BAW_height.tif"
14015,65,0.667822593646278,0,50.25,10100.25,"NBCD_MZ03_BAW_height.tif"
14015,65,0.667822593646278,0,30.5,3721,"NBCD_MZ05_BAW_height.tif"
14016,29,0.589611574074074,0,0,0,"NBCD_MZ05_BAW_height.tif"
14018,58,0.66747676056338,179,183.25,30.9166666666667,"NBCD_MZ06_BAW_height.tif"
14021,47,0.612702252252252,0,39,3920.8,"NBCD_MZ05_BAW_height.tif"
14030,31,0.320309975351303,0,0,0,"NBCD_MZ13_BAW_height.tif"
14031,21,0.134497646269581,0,0,0,"NBCD_MZ13_BAW_height.tif"
14036,22,0.137911295738311,0,0,0,"NBCD_MZ13_BAW_height.tif"
14054,70,0.603372522522522,0,0,0,"NBCD_MZ05_BAW_height.tif"
14062,28,0.181764975965538,0,0,0,"NBCD_MZ13_BAW_height.tif"
14071,74,0.551564270517498,0,0,0,"NBCD_MZ03_BAW_height.tif"
14074,60,0.85721911714017,177,207.857142857143,861.142857142857,"NBCD_MZ03_BAW_height.tif"
14076,41,0.41660253164557,0,0,0,"NBCD_MZ12_BAW_height.tif"
14077,59,0.80644316872428,0,50.5,10201,"NBCD_MZ07_BAW_height.tif"
14080,37,0.626360824561404,0,0,0,"NBCD_MZ05_BAW_height.tif"
14082,81,0.632213333333333,0,0,0,"NBCD_MZ06_BAW_height.tif"
14088,25,0.156670306061013,0,0,0,"NBCD_MZ13_BAW_height.tif"
14097,59,0.618376576576577,0,0,0,"NBCD_MZ05_BAW_height.tif"
14098,68,0.616406578947368,0,0,0,"NBCD_MZ05_BAW_height.tif"
14106,73,0.544056481481481,0,0,0,"NBCD_MZ04_BAW_height.tif"
14108,64,0.601509778225806,0,96.4,7844.3,"NBCD_MZ04_BAW_height.tif"
14140,25,0.427074178403756,0,0,0,"NBCD_MZ04_BAW_height.tif"
14153,65,0.668291891891892,0,65.5,5726.33333333333,"NBCD_MZ06_BAW_height.tif"
14155,51,0.591647887323944,0,0,0,"NBCD_MZ05_BAW_height.tif"
14156,72,0.728114666666667,150,186.4,2028.3,"NBCD_MZ06_BAW_height.tif"
14162,39,0.289132996996997,0,0,0,"NBCD_MZ12_BAW_height.tif"
14164,70,0.843319736842105,0,139.333333333333,13115.4666666667,"NBCD_MZ03_BAW_height.tif"
14166,51,0.693537179487179,0,80.1666666666667,3868.16666666667,"NBCD_MZ07_BAW_height.tif"
14168,82,0.690091025641026,0,0,0,"NBCD_MZ07_BAW_height.tif"
14173,62,0.508035585299235,0,0,0,"NBCD_MZ04_BAW_height.tif"
14176,56,0.497580341880342,0,0,0,"NBCD_MZ07_BAW_height.tif"
14184,64,0.740264840182648,168,152.75,107.583333333333,"NBCD_MZ06_BAW_height.tif"
14185,68,0.841927705627706,160,68.2857142857143,7261.90476190476,"NBCD_MZ06_BAW_height.tif"
14186,67,0.710225883040936,189,202.8,230.2,"NBCD_MZ03_BAW_height.tif"
14188,72,0.799410810810811,0,0,0,"NBCD_MZ06_BAW_height.tif"
14189,75,0.623243981481482,149,150.714285714286,102.904761904762,"NBCD_MZ04_BAW_height.tif"
14193,71,0.626427228583741,0,0,0,"NBCD_MZ03_BAW_height.tif"
14201,60,0.771462337662338,161,114,8004.4,"NBCD_MZ06_BAW_height.tif"
14205,80,0.679138434214265,0,64.4285714285714,12767.2857142857,"NBCD_MZ06_BAW_height.tif"
14308,52,0.791626754385965,207,213.5,376.3,"NBCD_MZ06_BAW_height.tif"
14404,56,0.859870062977958,170,86.25,9922.91666666667,"NBCD_MZ07_BAW_height.tif"
14409,61,0.882373143961302,159,176.428571428571,416.952380952381,"NBCD_MZ03_BAW_height.tif"
14411,77,0.732706666666667,0,92.8,16171.7,"NBCD_MZ03_BAW_height.tif"
14414,56,0.714513924050633,0,63.1666666666667,9684.96666666667,"NBCD_MZ06_BAW_height.tif"
14417,69,0.663166271751203,140,67.5,5477.5,"NBCD_MZ06_BAW_height.tif"
14418,76,0.786042222222222,0,24.5,3601.5,"NBCD_MZ06_BAW_height.tif"
14419,53,0.791453153153153,136,150,291.333333333333,"NBCD_MZ06_BAW_height.tif"
14421,60,0.604183783783784,0,0,0,"NBCD_MZ06_BAW_height.tif"
14422,73,0.648228767123288,0,51.8333333333333,6532.16666666667,"NBCD_MZ06_BAW_height.tif"
14423,64,0.471122026604069,0,25.6666666666667,3952.66666666667,"NBCD_MZ06_BAW_height.tif"
