"statenum","route","latitude","longitude","stateroute"
4,78,59.31102,-112.48716,4078
4,79,59.86175,-111.61484,4079
4,81,49.8778677,-110.889404,4081
4,96,50.98545,-115.07526,4096
4,101,49.26127,-110.69079,4101
4,102,49.58229,-111.69789,4102
4,103,49.61134,-112.1495,4103
4,104,49.90214,-113.09867,4104
4,105,49.0201,-114.04528,4105
4,106,50.00432,-110.07319,4106
4,107,50.92139,-111.11275,4107
4,108,50.30279,-112.02041,4108
4,109,50.42635,-113.82728,4109
4,110,50.54263,-114.09345,4110
4,111,51.44533,-110.38028,4111
4,112,51.57551,-111.20079,4112
4,113,51.95441,-112.13115,4113
4,114,51.56148,-113.89621,4114
4,115,51.54794,-114.21268,4115
4,116,51.66166,-115.40694,4116
4,118,52.93074,-110.58437,4118
4,119,52.90149,-111.89042,4119
4,120,52.63801,-111.99628,4120
4,121,52.61069,-113.98702,4121
4,122,52.5814,-114.40959,4122
4,123,52.20935,-115.96781,4123
4,125,52.48771,-117.51832,4125
4,126,53.29003,-110.54172,4126
4,127,53.10329,-111.76012,4127
4,128,53.10505,-112.14825,4128
4,129,53.11978,-113.1229,4129
4,130,53.54122,-114.78685,4130
4,131,53.77362,-115.61189,4131
4,136,54.18052,-110.30494,4136
4,137,54.75735,-111.97184,4137
4,138,54.43414,-112.8288,4138
4,139,54.05083,-113.91555,4139
4,141,54.74231,-115.78253,4141
4,143,54.36335,-117.03659,4143
4,147,55.66923,-111.10694,4147
4,149,55.90366,-113.69851,4149
4,152,55.59954,-116.61371,4152
4,153,55.08341,-117.357,4153
4,154,55.69463,-118.38853,4154
4,155,55.31601,-119.66554,4155
4,157,56.1651,-110.85584,4157
4,163,56.74097,-117.45825,4163
4,164,56.24743,-118.07956,4164
4,165,56.36365,-119.0307,4165
4,196,50.6917,-115.13917,4196
4,201,49.53812,-110.27546,4201
4,202,49.34847,-111.79937,4202
4,203,49.38423,-112.65106,4203
4,204,49.26174,-113.65683,4204
4,205,49.63589,-114.48967,4205
4,206,50.22206,-110.96022,4206
4,207,50.15235,-111.98355,4207
4,208,50.16448,-112.31428,4208
4,209,50.48464,-113.39021,4209
4,210,50.51364,-114.2469,4210
4,211,51.35788,-110.19278,4211
4,212,51.76553,-111.51697,4212
4,213,51.18333,-112.33055,4213
4,214,51.4154,-113.7321,4214
4,215,51.21046,-114.7631,4215
4,218,52.28851,-110.19538,4218
4,219,52.66775,-111.10859,4219
4,220,52.52175,-112.85969,4220
4,221,52.55125,-113.93962,4221
4,222,52.65721,-114.19363,4222
4,223,52.79593,-115.52037,4223
4,225,52.98463,-117.34166,4225
4,226,53.26353,-110.15187,4226
4,227,53.77624,-111.24257,4227
4,228,53.93434,-112.70335,4228
4,229,53.3377,-113.85339,4229
4,230,53.48311,-114.78773,4230
4,231,53.72457,-115.71055,4231
4,236,54.3556,-110.35393,4236
4,237,54.4716,-111.37939,4237
4,238,54.23924,-112.22591,4238
4,239,54.03624,-113.32135,4239
4,240,54.47181,-114.0776,4240
4,241,54.03515,-115.11754,4241
4,251,54.999,-115.25994,4251
4,252,55.43233,-116.4117,4252
4,253,55.43279,-117.17992,4253
4,254,55.34589,-118.35911,4254
4,255,55.46148,-119.0514,4255
4,301,49.52351,-110.68143,4301
4,302,49.75642,-111.51741,4302
4,303,49.46501,-112.42692,4303
4,304,49.74948,-113.78431,4304
4,306,50.55749,-110.32547,4306
4,307,50.93578,-111.86568,4307
4,308,50.60144,-112.99408,4308
4,309,50.01932,-113.39054,4309
4,310,50.27017,-114.20751,4310
4,311,51.44452,-110.91913,4311
4,312,51.41613,-111.47615,4312
4,313,51.32885,-112.04431,4313
4,314,51.35786,-113.16917,4314
4,315,51.32922,-114.25969,4315
4,318,52.01191,-110.74296,4318
4,319,51.99756,-111.81444,4319
4,320,52.81435,-112.03574,4320
4,321,52.72674,-113.22096,4321
4,322,52.40635,-114.40958,4322
4,323,52.52326,-115.95438,4323
4,326,53.99143,-110.94575,4326
4,327,53.45383,-111.13402,4327
4,328,53.30862,-112.78189,4328
4,329,53.1343,-113.19621,4329
4,330,53.62844,-114.3987,4330
4,331,53.61388,-115.45111,4331
4,336,54.63619,-110.76131,4336
4,337,54.26769,-111.2532,4337
4,338,54.67334,-112.37493,4338
4,339,54.61755,-113.43309,4339
4,340,54.34059,-114.48941,4340
4,352,55.43277,-116.30623,4352
4,353,56.00454,-117.18531,4353
4,354,55.81052,-118.12955,4354
4,355,55.2579,-119.97593,4355
4,401,49.86216,-110.68174,4401
4,404,49.875772,-114.079114,4404
4,407,50.56388,-111.84916,4407
4,408,50.92147,-112.17449,4408
4,411,50.70277,-110.60929,4411
4,412,51.27059,-111.19086,4412
4,413,49.34834,-112.26998,4413
4,414,51.67828,-113.666157,4414
4,421,52.20114,-113.21913,4421
4,429,53.11978,-113.1229,4429
4,430,53.01772,-114.17258,4430
4,438,54.91816,-112.01798,4438
4,440,54.23922,-114.05202,4440
4,452,55.11255,-116.79778,4452
4,501,50.08913,-111.56814,4501
4,504,49.98083,-113.908,4504
4,508,50.83397,-112.45127,4508
4,511,50.765188,-110.673829,4511
4,512,49.10149,-110.56255,4512
4,540,54.48029,-114.15326,4540
4,608,50.60144,-112.99408,4608
4,612,49.10149,-110.56255,4612
4,712,49.10149,-110.56255,4712
4,928,53.71625,-112.81534,4928
6,1,36.4118157,-113.3253169,6001
6,2,36.7313947,-112.0460509,6002
6,3,36.1623537,-111.3865819,6003
6,4,36.5612867,-110.5019459,6004
6,5,36.5089267,-109.4726859,6005
6,6,35.8986777,-114.2909089,6006
6,7,35.5156177,-113.2016679,6007
6,8,35.7549067,-112.8721919,6008
6,9,35.3950617,-111.5777809,6009
6,10,35.8687197,-110.6230399,6010
6,11,35.678979,-109.2046208,6011
6,12,34.9859877,-114.4831159,6012
6,13,34.7270747,-113.9188229,6013
6,14,34.6437087,-112.4327389,6014
6,15,34.8492047,-111.4342499,6015
6,16,34.6673667,-110.3230139,6016
6,17,34.4781336,-109.6046705,6017
6,18,33.6562037,-114.2169649,6018
6,19,33.8839297,-113.8530119,6019
6,20,33.7034749,-112.2723363,6020
6,21,33.0219797,-111.2169189,6021
6,22,33.8114477,-110.9051519,6022
6,23,33.6100527,-109.1067429,6023
6,24,32.8332815,-114.3988546,6024
6,25,32.9285617,-113.5413359,6025
6,26,32.3325717,-112.7874759,6026
6,27,33.0156287,-111.3839189,6027
6,28,32.0343407,-110.3031159,6028
6,29,32.4996877,-109.3368449,6029
6,30,32.0266567,-112.9573589,6030
6,31,31.387449,-111.064564,6031
6,32,31.5175977,-110.7949529,6032
6,33,31.8181957,-109.6948089,6033
6,51,36.2863797,-113.0649869,6051
6,52,36.3131479,-112.0319722,6052
6,53,36.9132282,-111.4526999,6053
6,54,36.3915637,-110.8794319,6054
6,55,36.3599237,-109.6437909,6055
6,56,35.1226722,-114.582156,6056
6,57,35.4272901,-113.8087941,6057
6,58,35.0556327,-112.2188339,6058
6,59,35.1634107,-111.9475859,6059
6,60,35.2779817,-110.3798989,6060
6,61,35.5302347,-109.8516089,6061
6,63,34.2318174,-113.5975476,6063
6,64,34.7733727,-112.6192267,6064
6,65,34.3566847,-111.1008299,6065
6,66,34.7,-110.7666667,6066
6,67,34.1153987,-109.9154509,6067
6,68,33.2314477,-114.668276,6068
6,69,33.2869987,-112.9375459,6069
6,70,33.3339864,-112.677217,6070
6,71,33.8177037,-111.6398389,6071
6,72,33.1754789,-110.5290913,6072
6,73,33.8668667,-109.1657669,6073
6,74,32.8548017,-114.4452209,6074
6,76,32.1764407,-112.2624969,6076
6,77,32.57312,-111.3291239,6077
6,78,32.5434377,-110.5053099,6078
6,79,32.6498267,-109.8181145,6079
6,80,32.4009815,-112.9321083,6080
6,81,31.7120327,-111.0671459,6081
6,82,31.9576267,-110.9446259,6082
6,83,31.6464055,-109.4732045,6083
6,84,33.962204,-112.77163,6084
6,101,36.6901017,-113.4587859,6101
6,103,36.6095467,-111.0768659,6103
6,105,36.3019687,-109.1965869,6105
6,106,35.8663787,-114.6619869,6106
6,107,35.5541565,-113.3760172,6107
6,108,35.2307957,-112.5859679,6108
6,115,34.8379964,-111.4382855,6115
6,116,34.6116178,-110.3781682,6116
6,119,33.9225847,-113.8247909,6119
6,121,33.0385437,-111.3789069,6121
6,122,33.5656117,-110.9464649,6122
6,123,33.6103817,-109.1063079,6123
6,126,32.4655,-112.86988,6126
6,127,32.9583127,-111.3334729,6127
6,130,31.9571917,-112.7999879,6130
6,133,31.9825267,-109.2013399,6133
6,161,35.5413048,-109.3232177,6161
6,170,33.3339864,-112.677217,6170
6,172,33.178809,-110.215069,6172
6,176,32.3559327,-112.8270799,6176
6,177,32.57312,-111.329123,6177
6,206,35.8663187,-114.6620259,6206
6,219,33.9225847,-113.82479,6219
6,233,31.75871,-109.73797,6233
6,900,31.9197167,-109.9150009,6900
6,901,31.6064617,-109.2258228,6901
7,1,33.3121558,-91.8906744,7001
7,2,33.1683737,-91.3322519,7002
7,3,33.9045937,-92.5979989,7003
7,4,33.5907857,-92.6974039,7004
7,5,33.3755757,-93.4706879,7005
7,6,33.6627163,-93.6694105,7006
7,7,33.6969877,-94.1229479,7007
7,8,34.9269397,-90.5065699,7008
7,9,34.7079957,-91.7000729,7009
7,10,34.0487397,-91.4995419,7010
7,11,34.6176687,-92.7855459,7011
7,12,34.3401497,-92.6636599,7012
7,13,34.0344927,-93.2513959,7013
7,14,34.6972007,-93.0827549,7014
7,15,34.9704407,-94.0440279,7015
7,16,35.4848667,-90.6809479,7016
7,17,35.5182337,-90.2869869,7017
7,18,35.3146747,-91.3577789,7018
7,19,35.9114603,-91.3426352,7019
7,20,35.6330837,-92.7182699,7020
7,21,35.5702167,-92.1956399,7021
