"siteID","NDVI","status","nSpp"
220,NA,"breeder",17
221,0.737495833333333,"breeder",30
222,0.806333333333333,"breeder",23
223,0.752383333333333,"breeder",42
224,0.802933333333333,"breeder",15
225,0.811525,"breeder",28
226,0.519841666666667,"breeder",39
227,0.765033333333333,"breeder",29
228,0.783516666666667,"breeder",19
229,0.7681,"breeder",25
230,0.749033333333333,"breeder",12
231,0.7375,"breeder",21
232,0.579725,"breeder",8
233,0.2103,"breeder",16
234,0.826133333333333,"breeder",24
235,0.760366666666667,"breeder",19
236,0.723366666666667,"breeder",14
237,0.763066666666667,"breeder",22
238,0.732025,"breeder",15
239,0.697983333333333,"breeder",44
240,0.77685,"breeder",30
241,0.778391666666667,"breeder",22
242,0.789916666666667,"breeder",25
243,0.7823,"breeder",27
244,0.810316666666667,"breeder",24
245,0.808333333333333,"breeder",19
246,0.73045,"breeder",22
247,0.842266666666667,"breeder",8
248,0.819716666666667,"breeder",15
249,0.522916666666667,"breeder",25
250,0.538833333333333,"breeder",17
251,0.480975,"breeder",16
252,0.779233333333333,"breeder",22
253,0.69075,"breeder",13
254,0.71815,"breeder",25
255,0.782208333333333,"breeder",19
256,0.7618,"breeder",28
257,0.8152,"breeder",11
258,0.727491666666667,"breeder",37
259,0.77685,"breeder",17
260,0.774558333333333,"breeder",26
261,0.768583333333333,"breeder",35
262,0.846916666666667,"breeder",17
263,0.761033333333333,"breeder",40
264,0.792383333333333,"breeder",26
265,0.653333333333333,"breeder",18
266,0.408966666666667,"breeder",7
267,0.48725,"breeder",34
268,0.725966666666667,"breeder",13
269,0.723366666666667,"breeder",21
270,0.750716666666667,"breeder",28
271,0.774116666666667,"breeder",28
272,0.816416666666667,"breeder",25
273,0.771233333333333,"breeder",21
274,0.66625,"breeder",18
275,0.746233333333333,"breeder",17
276,0.703933333333333,"breeder",31
277,0.746979166666667,"breeder",35
278,0.8055,"breeder",22
279,0.759016666666667,"breeder",20
280,0.837616666666667,"breeder",3
281,0.826066666666667,"breeder",21
282,0.808683333333333,"breeder",40
283,0.737266666666667,"breeder",26
284,0.699283333333333,"breeder",18
285,0.802233333333333,"breeder",24
286,0.778408333333333,"breeder",29
287,0.7858,"breeder",25
288,0.7858,"breeder",26
289,0.801266666666667,"breeder",26
290,0.830866666666667,"breeder",31
291,0.82415,"breeder",28
292,0.724783333333333,"breeder",15
293,0.78015,"breeder",34
294,0.530625,"breeder",39
295,0.403566666666667,"breeder",24
296,0.403566666666667,"breeder",25
297,0.746466666666667,"breeder",23
298,0.813083333333333,"breeder",21
299,0.822766666666667,"breeder",34
300,0.774083333333333,"breeder",11
301,0.777125,"breeder",27
302,0.782483333333333,"breeder",33
303,0.81075,"breeder",29
304,0.739175,"breeder",21
305,0.80945,"breeder",22
306,0.703933333333333,"breeder",35
307,0.807941666666667,"breeder",17
308,0.8055,"breeder",24
309,0.737266666666667,"breeder",26
310,0.775995833333333,"breeder",19
311,0.77695,"breeder",27
312,0.7858,"breeder",26
313,0.7858,"breeder",24
314,0.8016,"breeder",23
315,0.8016,"breeder",27
316,0.8055,"breeder",19
317,0.801266666666667,"breeder",23
318,0.794166666666667,"breeder",28
319,0.774191666666667,"breeder",29
320,0.3984,"breeder",27
321,0.3984,"breeder",26
322,0.758683333333333,"breeder",28
323,0.763808333333333,"breeder",25
324,0.7251,"breeder",19
325,0.768933333333333,"breeder",25
326,0.71175,"breeder",32
327,0.800866666666667,"breeder",26
328,0.738091666666667,"breeder",25
329,0.738091666666667,"breeder",19
330,0.796966666666667,"breeder",23
331,0.679216666666667,"breeder",23
332,0.41805,"breeder",19
333,0.768283333333333,"breeder",29
334,0.634966666666667,"breeder",19
335,0.815283333333333,"breeder",17
336,0.825,"breeder",18
337,0.710016666666667,"breeder",31
338,0.761633333333333,"breeder",23
339,0.7623,"breeder",13
340,0.765033333333333,"breeder",34
341,0.787166666666667,"breeder",18
342,NA,"breeder",9
343,0.802366666666667,"breeder",15
344,0.79065,"breeder",21
345,0.8104,"breeder",28
346,0.5789625,"breeder",9
347,0.518183333333333,"breeder",15
348,0.7894,"breeder",27
349,0.781441666666667,"breeder",19
350,0.0999333333333333,"breeder",13
351,0.0999333333333333,"breeder",18
352,0.0909166666666667,"breeder",16
353,0.0909166666666667,"breeder",13
354,0.7976,"breeder",39
355,0.753975,"breeder",26
356,0.666583333333333,"breeder",11
357,0.826933333333333,"breeder",9
358,NA,"breeder",24
359,0.833216666666667,"breeder",49
360,0.517266666666667,"breeder",19
361,0.78405,"breeder",18
362,NA,"breeder",10
363,NA,"breeder",14
364,0.795525,"breeder",25
365,0.700025,"breeder",26
366,0.452,"breeder",36
367,0.497566666666667,"breeder",29
368,0.82885,"breeder",9
369,0.842216666666667,"breeder",35
370,0.532516666666667,"breeder",15
371,NA,"breeder",15
372,0.2966,"breeder",23
373,0.408966666666667,"breeder",24
374,0.424658333333333,"breeder",26
375,0.246633333333333,"breeder",32
376,0.609866666666667,"breeder",18
377,0.550416666666667,"breeder",29
378,0.66485,"breeder",10
379,0.80845,"breeder",30
380,0.249108333333333,"breeder",31
381,NA,"breeder",11
382,0.346033333333333,"breeder",22
383,NA,"breeder",22
384,0.724358333333333,"breeder",16
385,0.827958333333333,"breeder",28
386,0.381116666666667,"breeder",22
387,0.799566666666667,"breeder",34
388,0.7852,"breeder",41
389,0.7775,"breeder",17
390,0.308533333333333,"breeder",15
391,0.6557,"breeder",30
392,0.747633333333333,"breeder",13
393,0.753175,"breeder",14
