"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v05","2015190221819",1,7914
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v05","2015191094858",1,8443
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v05","2015192140827",1,8089
"-6668691.53","4332900.56","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.96667,-77.13333,"  6","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v05","2015192141836",1,8229
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,7859
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,8582
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,8469
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,8967
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,8894
"-6242907.19","4811039.29","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.26667,-77.1,"  7","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,8655
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,8343
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,8123
"-6206305.56","4818452.22","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",43.33333,-76.73333,"  8","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,6671
