"filename","siteID","class","n.patches","total.area","prop.landscape","patch.density","total.edge","edge.density","landscape.shape.index","largest.patch.index","mean.patch.area","sd.patch.area","min.patch.area","max.patch.area","perimeter.area.frac.dim","mean.perim.area.ratio","sd.perim.area.ratio","min.perim.area.ratio","max.perim.area.ratio","mean.shape.index","sd.shape.index","min.shape.index","max.shape.index","mean.frac.dim.index","sd.frac.dim.index","min.frac.dim.index","max.frac.dim.index","total.core.area","prop.landscape.core","mean.patch.core.area","sd.patch.core.area","min.patch.core.area","max.patch.core.area","prop.like.adjacencies","aggregation.index","lanscape.division.index","splitting.index","effective.mesh.size","patch.cohesion.index"
"classStat_nlcd_30x30_2001_bbc_43.csv","43",42,2,171,0.737068965517241,0.00862068965517241,108,0.46551724137931,2,0.633620689655172,85.5,86.9741340859454,24,147,1.26194352804859,0.994897959183674,0.714322156504778,0.489795918367347,1.5,1.62,0.254558441227157,1.44,1.8,1.27055685553325,0.158662939778508,1.15836521489287,1.38274849617362,84,0.362068965517241,42,59.39696961967,0,84,0.727272727272727,91.4285714285714,0.587823275862069,2.42614379084967,95.625,8.52182659229024
"classStat_nlcd_30x30_2001_bbc_43.csv","43",52,4,40,0.172413793103448,0.0172413793103448,74,0.318965517241379,2.84615384615385,0.0905172413793103,10,8.60232526704263,1,21,3.73307598423474,2.5297619047619,1.19338929295312,1.5,4,1.44642857142857,0.371680317616364,1,1.8,1.43176685530053,0.235229803148078,1.2105705434887,1.67888315659275,1,0.00431034482758621,0.25,0.5,0,1,0.367521367521368,64.1791044776119,0.988443816884661,86.5337620578778,2.68103448275862,7.03278179060693
"classStat_nlcd_30x30_2001_bbc_44.csv","44",42,2,21,0.304347826086957,0.0289855072463768,28,0.405797101449275,1.4,0.289855072463768,10.5,13.4350288425444,1,20,2.67330967163123,2.6,1.97989898732233,1.2,4,1.16666666666667,0.235702260395516,1,1.33333333333333,1.19620800900369,NA,1.19620800900369,1.19620800900369,3,0.0434782608695652,1.5,2.12132034355964,0,3,0.5,87.5,0.915773997059441,11.8728179551122,5.81159420289855,6.8292644426716
"classStat_nlcd_30x30_2001_bbc_44.csv","44",52,1,40,0.579710144927536,0.0144927536231884,42,0.608695652173913,1.61538461538462,0.579710144927536,40,NA,40,40,2.10038567787773,1.05,NA,1.05,1.05,1.61538461538462,NA,1.61538461538462,1.61538461538462,1.27484526746525,NA,1.27484526746525,1.27484526746525,8,0.115942028985507,8,NA,8,8,0.584158415841584,88.0597014925373,0.663936147868095,2.975625,23.1884057971014,7.40534938596484
"classStat_nlcd_30x30_2001_bbc_44.csv","44",71,2,8,0.115942028985507,0.0289855072463768,20,0.289855072463768,1.66666666666667,0.101449275362319,4,4.24264068711928,1,7,5.1879476956106,3.14285714285714,1.21218305346265,2.28571428571429,4,1.16666666666667,0.235702260395516,1,1.33333333333333,1.42482874843209,NA,1.42482874843209,1.42482874843209,0,0,0,0,0,0,0.230769230769231,60,0.989498004620878,95.22,0.72463768115942,5.47151249424333
"classStat_nlcd_30x30_2001_bbc_45.csv","45",41,1,30,1,0.0333333333333333,24,0.8,1.09090909090909,1,30,NA,30,30,1.59693671177088,0.8,NA,0.8,0.8,1.09090909090909,NA,1.09090909090909,1.09090909090909,1.05360510912332,NA,1.05360510912332,1.05360510912332,10,0.333333333333333,10,NA,10,10,0.666666666666667,97.9591836734694,0,1,30,6.68184961663222
"classStat_nlcd_30x30_2001_bbc_46.csv","46",11,1,13,0.122641509433962,0.00943396226415094,30,0.283018867924528,1.875,0.122641509433962,13,NA,13,13,4.65166077236385,2.30769230769231,NA,2.30769230769231,2.30769230769231,1.875,NA,1.875,1.875,1.57110549935876,NA,1.57110549935876,1.57110549935876,0,0,0,NA,0,0,0.268292682926829,61.1111111111111,0.984959060163759,66.4852071005917,1.59433962264151,6.52459938573677
"classStat_nlcd_30x30_2001_bbc_46.csv","46",21,5,7,0.0660377358490566,0.0471698113207547,24,0.226415094339623,2,0.0283018867924528,1.4,0.894427190999916,1,3,8.03567080048803,3.73333333333333,0.596284793999944,2.66666666666667,4,1,0,1,1,1.26185950714291,NA,1.26185950714291,1.26185950714291,0,0,0,0,0,0,0.0769230769230769,25,0.998843004627981,864.307692307692,0.122641509433962,3.81598359983852
"classStat_nlcd_30x30_2001_bbc_46.csv","46",22,4,18,0.169811320754717,0.0377358490566038,40,0.377358490566038,2.22222222222222,0.113207547169811,4.5,5.06622805119022,1,12,4.5801749532457,2.875,0.896236989161204,1.83333333333333,4,1.14285714285714,0.285714285714286,1,1.57142857142857,1.26795556974855,0.101216376063348,1.16992500144231,1.37208220066043,0,0,0,0,0,0,0.285714285714286,59.2592592592593,0.985938056247775,71.1139240506329,1.49056603773585,6.13441057889339
"classStat_nlcd_30x30_2001_bbc_46.csv","46",23,5,37,0.349056603773585,0.0471698113207547,76,0.716981132075472,2.92307692307692,0.311320754716981,7.4,14.3108350559987,1,33,4.13615681033487,3.56363636363636,0.97573875381809,1.81818181818182,4,1.3,0.670820393249937,1,2.5,1.54900291419156,NA,1.54900291419156,1.54900291419156,0,0,0,0,0,0,0.321428571428571,59.0163934426229,0.902723389106444,10.2799634034767,10.311320754717,7.45701674426782
"classStat_nlcd_30x30_2001_bbc_46.csv","46",24,4,15,0.141509433962264,0.0377358490566038,40,0.377358490566038,2.5,0.0566037735849057,3.75,2.21735578260835,1,6,5.59407043981815,2.95,0.726992791242471,2.33333333333333,4,1.2,0.23094010767585,1,1.4,1.40566365059159,0.147591216373764,1.26185950714291,1.55677079409755,0,0,0,0,0,0,0.2,45.4545454545455,0.993681025275899,158.253521126761,0.669811320754717,5.00158965076742
"classStat_nlcd_30x30_2001_bbc_46.csv","46",95,2,16,0.150943396226415,0.0188679245283019,44,0.415094339622642,2.75,0.141509433962264,8,9.89949493661167,1,15,5.56538622867696,3.33333333333333,0.942809041582063,2.66666666666667,4,1.75,1.06066017177982,1,2.5,1.70054830745521,NA,1.70054830745521,1.70054830745521,0,0,0,0,0,0,0.185185185185185,43.4782608695652,0.979886080455678,49.716814159292,2.13207547169811,6.69751017145888
