"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
3051,0.558786250168178,NA,NA,NA,NA
3052,0.796724390243902,NA,NA,NA,NA
3053,0.616509711640573,NA,NA,NA,NA
3054,0.780966935483871,NA,NA,NA,NA
3055,0.761543089430894,NA,NA,NA,NA
3060,0.763198165137615,NA,NA,NA,NA
3084,0.824794202898551,NA,NA,NA,NA
3090,0.479313692699491,NA,NA,NA,NA
3101,0.795837313432836,NA,NA,NA,NA
3115,0.73827969924812,NA,NA,NA,NA
3116,0.641604072602065,NA,NA,NA,NA
3117,0.817848387096774,NA,NA,NA,NA
3118,0.788408695652174,NA,NA,NA,NA
3119,0.685444681355129,NA,NA,NA,NA
3121,0.727642936087803,NA,NA,NA,NA
3122,0.608376501771872,NA,NA,NA,NA
3123,0.689673306122449,NA,NA,NA,NA
3125,0.676207478559177,NA,NA,NA,NA
3131,0.620702645502645,NA,NA,NA,NA
3142,0.823891846405229,NA,NA,NA,NA
3180,0.759377142857143,NA,NA,NA,NA
3191,0.550143234336228,NA,NA,NA,NA
3192,0.774184955752212,NA,NA,NA,NA
3212,0.7816264,NA,NA,NA,NA
3216,0.720866180888261,NA,NA,NA,NA
3217,0.850744262295082,NA,NA,NA,NA
3218,0.728992405063291,NA,NA,NA,NA
3221,0.726875787359604,NA,NA,NA,NA
3223,0.66305531096799,NA,NA,NA,NA
3224,0.7338,NA,NA,NA,NA
3231,0.682192942942943,NA,NA,NA,NA
3284,0.825377372262774,NA,NA,NA,NA
3313,0.839776190476191,NA,NA,NA,NA
3318,0.778846218487395,NA,NA,NA,NA
3319,0.660511039710477,NA,NA,NA,NA
3321,0.654654682123764,NA,NA,NA,NA
3372,0.705078947368421,NA,NA,NA,NA
3401,0.786857627118644,NA,NA,NA,NA
3402,0.656478260869565,NA,NA,NA,NA
3403,0.826869655172414,NA,NA,NA,NA
3404,0.819072185430464,NA,NA,NA,NA
3405,0.68507012987013,NA,NA,NA,NA
3406,0.797763636363636,NA,NA,NA,NA
3407,0.828744776119403,NA,NA,NA,NA
3408,0.517250632911392,NA,NA,NA,NA
3409,0.71309875,NA,NA,NA,NA
3410,0.811343181818182,NA,NA,NA,NA
3411,0.726010196448391,NA,NA,NA,NA
3412,0.697030718308171,NA,NA,NA,NA
3414,0.859044594594594,NA,NA,NA,NA
3415,0.812298412698413,NA,NA,NA,NA
3416,0.837046979865772,NA,NA,NA,NA
3417,0.807873387096774,NA,NA,NA,NA
3418,0.841716058394161,NA,NA,NA,NA
3419,0.835370629370629,NA,NA,NA,NA
3420,0.795244831730769,NA,NA,NA,NA
3421,0.807022727272727,NA,NA,NA,NA
3422,0.641732142857143,NA,NA,NA,NA
3423,0.83447037037037,NA,NA,NA,NA
3424,0.687231632653061,NA,NA,NA,NA
3425,0.513912407980029,NA,NA,NA,NA
3426,0.792864227642277,NA,NA,NA,NA
3427,0.636420512820513,NA,NA,NA,NA
3428,0.84493115942029,NA,NA,NA,NA
3429,0.68227358103062,NA,NA,NA,NA
3430,0.808328487362531,NA,NA,NA,NA
3431,0.724050601434189,NA,NA,NA,NA
3432,0.737464355521354,NA,NA,NA,NA
3433,0.840173282442748,NA,NA,NA,NA
3434,0.753967256637168,NA,NA,NA,NA
3435,0.73915992888922,NA,NA,NA,NA
3436,0.691939130434783,NA,NA,NA,NA
3438,0.804316883116883,NA,NA,NA,NA
3439,0.609493584564242,NA,NA,NA,NA
3440,0.81314453125,NA,NA,NA,NA
3442,0.720399130434782,NA,NA,NA,NA
3444,0.617537787114846,NA,NA,NA,NA
3445,0.842069863013699,NA,NA,NA,NA
3760,0.755336206896552,NA,NA,NA,NA
3850,0.592072143182854,NA,NA,NA,NA
4001,0.575962921348315,NA,NA,NA,NA
4002,0.594382795698925,NA,NA,NA,NA
4003,0.57044367816092,NA,NA,NA,NA
4004,0.729073033707865,NA,NA,NA,NA
4005,0.83762688172043,NA,NA,NA,NA
4006,0.459414285714286,NA,NA,NA,NA
4007,0.612892473118279,NA,NA,NA,NA
4008,0.649894565217391,NA,NA,NA,NA
4009,0.658243956043956,NA,NA,NA,NA
4010,0.846401086956522,NA,NA,NA,NA
4011,0.456962222222222,NA,NA,NA,NA
4012,0.472816129032258,NA,NA,NA,NA
4013,0.645505102040816,NA,NA,NA,NA
4014,0.802925531914894,NA,NA,NA,NA
4015,0.848547826086957,NA,NA,NA,NA
4016,0.748284782608696,NA,NA,NA,NA
4017,0.652340425531915,NA,NA,NA,NA
4018,0.685584536082474,NA,NA,NA,NA
4019,0.6265875,NA,NA,NA,NA
4020,0.667903157894737,NA,NA,NA,NA
4021,0.787410204081633,NA,NA,NA,NA
4022,0.852092929292929,NA,NA,NA,NA
4023,0.797134375,NA,NA,NA,NA
4024,0.641081720430108,NA,NA,NA,NA
4025,0.587561702127659,NA,NA,NA,NA
4026,0.726973195876288,NA,NA,NA,NA
4027,0.763800980392157,NA,NA,NA,NA
4028,0.799531914893617,NA,NA,NA,NA
4029,0.804409090909091,NA,NA,NA,NA
4030,0.847101063829787,NA,NA,NA,NA
4031,0.831423232323232,NA,NA,NA,NA
4032,0.856550526315789,NA,NA,NA,NA
4033,0.788512745098039,NA,NA,NA,NA
4034,0.765455445544555,NA,NA,NA,NA
4036,0.7991,NA,NA,NA,NA
4037,0.815953465346535,NA,NA,NA,NA
4038,0.851212121212121,NA,NA,NA,NA
4039,0.86245612244898,NA,NA,NA,NA
4040,0.831166666666667,NA,NA,NA,NA
4041,0.820361386138614,NA,NA,NA,NA
4042,0.870785576923077,NA,NA,NA,NA
4043,0.893622222222222,NA,NA,NA,NA
4044,0.896422222222222,NA,NA,NA,NA
4046,0.808498076923077,NA,NA,NA,NA
4048,0.858857281553398,NA,NA,NA,NA
4049,0.877662376237624,NA,NA,NA,NA
4050,0.856381868186819,NA,NA,NA,NA
4051,0.845165576557656,NA,NA,NA,NA
4052,0.86488932038835,NA,NA,NA,NA
4053,0.852855238095238,NA,NA,NA,NA
4054,0.84383786407767,NA,NA,NA,NA
