"Common_name","Scientific_name","Synonyms","Alt_common_names","SISRecID","genus","species","species_id","aou","english_common_name","sporder","family","nHabitats1","nHabitats2","index","major","marginal","suitable","weighted","Tol","OMI","volume"
"Golden Eagle","Aquila chrysaetos","","Aigle royal",22696060,"Aquila","chrysaetos",657,3490,"Golden Eagle","Accipitriformes","Accipitridae",5,9,0.529411764705882,1,0,8,2.11111111111111,NA,NA,1.34797646638269
"Lewis's Woodpecker","Melanerpes lewis","","",22680801,"Melanerpes","lewis",725,4080,"Lewis's Woodpecker","Piciformes","Picidae",2,4,0.823529411764706,3,0,1,2.75,0.76415724,5.541244932,1.20838900852071
"Red-headed Woodpecker","Melanerpes erythrocephalus","","",22680810,"Melanerpes","erythrocephalus",726,4060,"Red-headed Woodpecker","Piciformes","Picidae",4,10,0.470588235294118,2,0,8,2.2,0.829656281,1.64917007,1.68533166483441
"Acorn Woodpecker","Melanerpes formicivorus","","",22680813,"Melanerpes","formicivorus",727,4070,"Acorn Woodpecker","Piciformes","Picidae",3,6,0.705882352941176,3,0,3,2.5,0.292748223,5.666919753,NA
"Golden-fronted Woodpecker","Melanerpes aurifrons","","",22680862,"Melanerpes","aurifrons",733,4100,"Golden-fronted Woodpecker","Piciformes","Picidae",4,9,0.529411764705882,1,0,8,2.11111111111111,0.205272787,9.783140474,0.178287469760948
"Red-bellied Woodpecker","Melanerpes carolinus","","",22680856,"Melanerpes","carolinus",734,4090,"Red-bellied Woodpecker","Piciformes","Picidae",4,8,0.588235294117647,2,0,6,2.25,1.085595992,4.067896708,1.47124494666417
"Williamson's Sapsucker","Sphyrapicus thyroideus","","",22680877,"Sphyrapicus","thyroideus",735,4040,"Williamson's Sapsucker","Piciformes","Picidae",1,2,0.941176470588235,2,0,0,3,0.536981654,8.332553558,0.264287676377116
"Yellow-bellied Sapsucker","Sphyrapicus varius","","",22680868,"Sphyrapicus","varius",736,4020,"Yellow-bellied Sapsucker","Piciformes","Picidae",1,2,0.941176470588235,2,0,0,3,0.126316345,2.704199742,0.459336011676449
"Red-naped Sapsucker","Sphyrapicus nuchalis","","",22680871,"Sphyrapicus","nuchalis",737,4021,"Red-naped Sapsucker","Piciformes","Picidae",1,3,0.882352941176471,2,0,1,2.66666666666667,0.867756653,7.244018639,0.674574725785114
"Red-breasted Sapsucker","Sphyrapicus ruber","","",22680874,"Sphyrapicus","ruber",738,4030,"Red-breasted Sapsucker","Piciformes","Picidae",1,5,0.764705882352941,3,0,2,2.6,1.743808508,6.892149875,0.810774276820912
"unknown",NA,NA,NA,NA,"Sphyrapicus","sp.",739,4022,"unid. Sapsucker","Piciformes","Picidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.824792932433465
"unknown",NA,NA,NA,22681152,"Picoides","scalaris",741,3960,"Ladder-backed Woodpecker","Piciformes","Picidae",2,6,0.705882352941176,1,0,5,2.16666666666667,0.473025534,7.53688505,0.599565779407473
"unknown",NA,NA,NA,22681149,"Picoides","nuttallii",742,3970,"Nuttall's Woodpecker","Piciformes","Picidae",2,4,0.823529411764706,2,0,2,2.5,0.170649942,5.078312968,NA
"unknown",NA,NA,NA,22681155,"Picoides","pubescens",743,3940,"Downy Woodpecker","Piciformes","Picidae",2,4,0.823529411764706,0,0,4,2,1.503556922,1.186920258,2.45571263472669
"unknown",NA,NA,NA,22681166,"Picoides","villosus",745,3930,"Hairy Woodpecker","Piciformes","Picidae",1,1,1,1,0,0,3,0.919225508,0.358554765,2.30193463607347
"unknown",NA,NA,NA,22681158,"Picoides","borealis",748,3950,"Red-cockaded Woodpecker","Piciformes","Picidae",2,3,0.882352941176471,1,0,2,2.33333333333333,0.172206004,9.507999293,0.489221518340067
"unknown",NA,NA,NA,22681169,"Picoides","albolarvatus",749,3990,"White-headed Woodpecker","Piciformes","Picidae",1,2,0.941176470588235,2,0,0,3,0.894721724,7.494403022,0.37366055968447
"Black-backed Woodpecker","Picoides arcticus","","",22681181,"Picoides","arcticus",751,4000,"Black-backed Woodpecker","Piciformes","Picidae",1,2,0.941176470588235,2,0,0,3,0.355675101,2.115381791,1.0019902870874
"Yellow-shafted Flicker","Colaptes auratus","","Northern Flicker",22726404,"Colaptes","auratus",754,4123,"(unid. Red/Yellow Shafted) Northern Flicker","Piciformes","Picidae",2,7,0.647058823529412,2,0,5,2.28571428571429,NA,NA,2.66269203757595
"unknown",NA,NA,NA,22726404,"Colaptes","auratus auratus",755,4120,"(Yellow-shafted Flicker) Northern Flicker","Piciformes","Picidae",2,7,0.647058823529412,2,0,5,2.28571428571429,1.845641156,0.167068911,1.68078176858413
"unknown",NA,NA,NA,22726414,"Colaptes","auratus cafer",756,4130,"(Red-shafted Flicker) Northern Flicker","Piciformes","Picidae",2,9,0.529411764705882,3,0,6,2.33333333333333,NA,NA,1.80902027769946
"unknown",NA,NA,NA,NA,"Colaptes","auratus auratus x auratus cafer",757,4125,"hybrid Northern Flicker (Red x Yellow-shafted)","Piciformes","Picidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"unknown",NA,NA,NA,22681363,"Dryocopus","pileatus",761,4050,"Pileated Woodpecker","Piciformes","Picidae",3,6,0.705882352941176,3,0,3,2.5,1.498109736,1.617632656,1.96537790344528
"unknown",NA,NA,NA,NA,"Woodpecker","sp.",762,3920,"unid. Woodpecker","Piciformes","Picidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73233891934155
"Crested Caracara","Caracara cheriway","","Northern Crested Caracara",22696255,"Caracara","cheriway",768,3620,"Crested Caracara","Falconiformes","Falconidae",4,9,0.529411764705882,0,0,9,2,NA,NA,NA
"American Kestrel","Falco sparverius","","",22696395,"Falco","sparverius",770,3600,"American Kestrel","Falconiformes","Falconidae",7,11,0.411764705882353,0,0,11,2,NA,NA,2.57471574113656
"Merlin","Falco columbarius","","Faucon émerillon",22696453,"Falco","columbarius",772,3570,"Merlin","Falconiformes","Falconidae",3,6,0.705882352941176,0,0,6,2,NA,NA,0.794008186561029
"Peregrine Falcon","Falco peregrinus","Falco pelegrinoides","",45354964,"Falco","peregrinus",778,3560,"Peregrine Falcon","Falconiformes","Falconidae",9,16,0.117647058823529,1,0,15,2.0625,NA,NA,3.94986651748758
"Prairie Falcon","Falco mexicanus","","",22696504,"Falco","mexicanus",779,3550,"Prairie Falcon","Falconiformes","Falconidae",2,2,0.941176470588235,1,0,1,2.5,NA,NA,1.30150462793471
"Olive-sided Flycatcher","Contopus cooperi","Contopus borealis","",22699787,"Contopus","cooperi",866,4590,"Olive-sided Flycatcher","Passeriformes","Tyrannidae",3,6,0.705882352941176,2,1,3,2.16666666666667,1.20014417,3.51140411,1.31774124198888
"Western Wood-pewee","Contopus sordidulus","","Western Wood-Pewee, Western Wood Pewee",22699811,"Contopus","sordidulus",868,4620,"Western Wood-Pewee","Passeriformes","Tyrannidae",1,4,0.823529411764706,3,0,1,2.75,1.401444226,4.228258161,1.54689850581721
"Eastern Wood-pewee","Contopus virens","","Eastern Wood-Pewee, Eastern Wood Pewee",22699816,"Contopus","virens",869,4610,"Eastern Wood-Pewee","Passeriformes","Tyrannidae",1,1,1,1,0,0,3,0.498172414,1.699814236,1.41482177506494
"Yellow-bellied Flycatcher","Empidonax flaviventris","","",22699839,"Empidonax","flaviventris",872,4630,"Yellow-bellied Flycatcher","Passeriformes","Tyrannidae",2,3,0.882352941176471,3,0,0,3,0.083550662,3.398708046,0.407880866900123
"Acadian Flycatcher","Empidonax virescens","","",22699842,"Empidonax","virescens",873,4650,"Acadian Flycatcher","Passeriformes","Tyrannidae",2,4,0.823529411764706,2,0,2,2.5,0.55361241,2.987637288,1.0231149057282
"Alder Flycatcher","Empidonax alnorum","","",22699845,"Empidonax","alnorum",874,4661,"Alder Flycatcher","Passeriformes","Tyrannidae",1,2,0.941176470588235,1,0,1,2.5,0.71865062,4.052247138,0.556196717127041
"Willow Flycatcher","Empidonax traillii","","",22699848,"Empidonax","traillii",875,4660,"Willow Flycatcher","Passeriformes","Tyrannidae",2,3,0.882352941176471,2,0,1,2.66666666666667,0.953055457,0.62953436,1.70656400232509
"unknown",NA,NA,NA,NA,"Empidonax","alnorum / traillii",876,4665,"unid. Alder Flycatcher / Willow Flycatcher","Passeriformes","Tyrannidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.597288708728388
"Least Flycatcher","Empidonax minimus","","",22699854,"Empidonax","minimus",878,4670,"Least Flycatcher","Passeriformes","Tyrannidae",2,3,0.882352941176471,1,0,2,2.33333333333333,0.595673133,3.031666396,0.689250418571707
"Hammond's Flycatcher","Empidonax hammondii","","",22699857,"Empidonax","hammondii",879,4680,"Hammond's Flycatcher","Passeriformes","Tyrannidae",1,2,0.941176470588235,2,0,0,3,0.749100891,5.964311344,0.920864002959552
"American Grey Flycatcher","Empidonax wrightii","","Gray Flycatcher, Grey Flycatcher",22699860,"Empidonax","wrightii",880,4691,"Gray Flycatcher","Passeriformes","Tyrannidae",2,4,0.823529411764706,2,0,2,2.5,0.365554071,7.505603061,0.380349615245863
"American Dusky Flycatcher","Empidonax oberholseri","","Dusky Flycatcher",22699864,"Empidonax","oberholseri",881,4690,"Dusky Flycatcher","Passeriformes","Tyrannidae",2,2,0.941176470588235,2,0,0,3,0.695540562,5.944440078,0.775390855620927
"unknown",NA,NA,NA,NA,"Empidonax","hammondii / oberholseri",882,4689,"unid. Hammond's Flycatcher / Dusky Flycatcher","Passeriformes","Tyrannidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pacific-slope Flycatcher","Empidonax difficilis","","",22699871,"Empidonax","difficilis",884,4641,"Pacific-slope Flycatcher","Passeriformes","Tyrannidae",2,3,0.882352941176471,2,0,1,2.66666666666667,1.455547151,8.694437869,0.870819572037295
"Cordilleran Flycatcher","Empidonax occidentalis","","",22699874,"Empidonax","occidentalis",885,4640,"Cordilleran Flycatcher","Passeriformes","Tyrannidae",1,3,0.882352941176471,3,0,0,3,1.120024686,9.011460913,1.2352608138869
