"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,6286
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,4765
"-6204915.63","4818452.22","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.33333,-76.71667," 10","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,4472
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,2109
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,225
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,537
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,4997
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,104
"-6247772.03","4812892.46","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",43.28333,-77.18333," 11","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,190
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,4703
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,5488
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,6878
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,6383
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,5749
"-6388155.70","4531198.37","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.75,-75.83333," 12","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,6621
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,3974
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,3797
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,3741
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,4246
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,4193
"-6389777.35","4529345.08","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",40.73333,-75.83333," 13","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,5212
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v05","2015189212013",1,5625
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h11v05","2015190121822",1,6464
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h11v05","2015190221847",1,6600
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h11v05","2015191092741",1,5570
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h11v05","2015192140937",1,6193
"-6764597.28","4321781.06","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.86667,-78.13333," 14","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h11v05","2015192140932",1,4968
"-6840812.22","4269890.00","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.4,-78.5," 15","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v05","2015189212013",1,4067
