"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4398
"-8316463.27","3572604.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13072,-88.31727," 2020","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,5221
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,5795
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,6037
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,6608
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5326
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5212
"-8257622.62","3589051.92","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.27824,-87.83595," 2021","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,5454
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4776
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3259
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4161
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3980
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,3135
"-8184419.09","3607352.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.44271,-87.21583," 2022","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,3466
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4813
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,4197
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4950
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3634
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4455
"-8181407.63","3645344.42","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.7847,-87.5154," 2023","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4706
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3383
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3447
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4066
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3547
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,2851
"-8124188.46","3572836.01","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.13124,-86.2755," 2024","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,3876
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3414
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3290
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4308
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3302
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,3104
"-8116543.86","3631445.04","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.65943,-86.70177," 2025","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,3290
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3229
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3954
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4422
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,3380
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,3547
"-8069517.61","3623568.76","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.58902,-86.13078," 2026","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,3997
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,5751
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,4833
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,6487
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5784
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5124
"-8040097.17","3592758.50","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.31161,-85.55309," 2027","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4855
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3172
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3858
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,4529
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,4745
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4393
"-8008591.95","3574457.57","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",32.14731,-85.06264," 2029","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4374
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3331
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,4084
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,3557
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,4960
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,3843
"-8121176.97","3447741.58","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.00813,-85.21126," 2031","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4037
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,3981
"-8169824.72","3512142.09","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",31.58591,-86.25038," 2033","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,3746
