"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
2207,0.815288273908237,199,176.571428571429,6125.61904761905,"NBCD_MZ48_BAW_height.tif"
2208,0.819629951690821,0,0,0,"NBCD_MZ48_BAW_height.tif"
2208,0.819629951690821,0,0,0,"NBCD_MZ54_BAW_height.tif"
2209,0.823928638497653,0,25.5,3901.5,"NBCD_MZ54_BAW_height.tif"
2210,0.814882857142857,149,99.3333333333333,5926.66666666667,"NBCD_MZ46_BAW_height.tif"
2211,0.780761274509804,236,228.6,125.8,"NBCD_MZ46_BAW_height.tif"
2212,0.794849509803922,0,0,0,"NBCD_MZ46_BAW_height.tif"
2212,0.794849509803922,0,0,0,"NBCD_MZ54_BAW_height.tif"
2213,0.783614975845411,0,0,0,"NBCD_MZ46_BAW_height.tif"
2214,0.822098009950249,127,81.8,5829.2,"NBCD_MZ46_BAW_height.tif"
2215,0.824314646464647,0,72.8571428571429,8271.47619047619,"NBCD_MZ46_BAW_height.tif"
2216,0.791871014492754,0,57.5,7971.1,"NBCD_MZ46_BAW_height.tif"
2217,0.636553956645082,150,74.5,7401,"NBCD_MZ46_BAW_height.tif"
2218,0.754392753623189,0,82.3333333333333,8198.66666666667,"NBCD_MZ46_BAW_height.tif"
2306,0.814277936292271,0,27.7142857142857,5376.57142857143,"NBCD_MZ48_BAW_height.tif"
2750,0.799024010086554,0,0,0,"NBCD_MZ48_BAW_height.tif"
2751,0.813517543133195,0,0,0,"NBCD_MZ48_BAW_height.tif"
2752,0.807883333333333,191,60.8333333333333,8910.56666666667,"NBCD_MZ46_BAW_height.tif"
2753,0.80768115942029,0,0,0,"NBCD_MZ46_BAW_height.tif"
2754,0.689935975549119,0,0,0,"NBCD_MZ46_BAW_height.tif"
6001,0.33306862745098,0,0,0,"NBCD_MZ15_BAW_height.tif"
6002,0.375538812785388,0,0,0,"NBCD_MZ15_BAW_height.tif"
6002,0.375538812785388,0,0,0,"NBCD_MZ24_BAW_height.tif"
6003,0.1736899543379,0,0,0,"NBCD_MZ15_BAW_height.tif"
6003,0.1736899543379,0,0,0,"NBCD_MZ24_BAW_height.tif"
6004,0.264622072072072,0,0,0,"NBCD_MZ15_BAW_height.tif"
6004,0.264622072072072,0,0,0,"NBCD_MZ24_BAW_height.tif"
6005,0.283720091324201,0,0,0,"NBCD_MZ15_BAW_height.tif"
6005,0.283720091324201,0,0,0,"NBCD_MZ24_BAW_height.tif"
6006,0.181774013656699,0,0,0,"NBCD_MZ13_BAW_height.tif"
6007,0.311586854460094,0,0,0,"NBCD_MZ15_BAW_height.tif"
6008,0.326374885844749,0,0,0,"NBCD_MZ15_BAW_height.tif"
6009,0.409044848721961,84,71.1666666666667,1221.76666666667,"NBCD_MZ15_BAW_height.tif"
6010,0.17315296803653,0,0,0,"NBCD_MZ15_BAW_height.tif"
6010,0.17315296803653,0,0,0,"NBCD_MZ24_BAW_height.tif"
6011,0.360796713615024,0,0,0,"NBCD_MZ15_BAW_height.tif"
6011,0.360796713615024,0,20.6666666666667,1065.06666666667,"NBCD_MZ24_BAW_height.tif"
6012,0.192265115611068,0,0,0,"NBCD_MZ13_BAW_height.tif"
6013,0.233200047397803,0,0,0,"NBCD_MZ14_BAW_height.tif"
6014,0.411158215962441,0,0,0,"NBCD_MZ15_BAW_height.tif"
6015,0.502104285714286,146,155.571428571429,114.952380952381,"NBCD_MZ15_BAW_height.tif"
6016,0.275355882352941,0,0,0,"NBCD_MZ15_BAW_height.tif"
6016,0.275355882352941,0,0,0,"NBCD_MZ24_BAW_height.tif"
6017,0.296875117370892,0,0,0,"NBCD_MZ15_BAW_height.tif"
6017,0.296875117370892,54,50,828.5,"NBCD_MZ24_BAW_height.tif"
6018,0.221760460013878,0,0,0,"NBCD_MZ14_BAW_height.tif"
6019,0.160886331846427,0,0,0,"NBCD_MZ14_BAW_height.tif"
6020,0.293782380952381,0,0,0,"NBCD_MZ14_BAW_height.tif"
6020,0.293782380952381,0,0,0,"NBCD_MZ15_BAW_height.tif"
6021,0.279878873239436,0,0,0,"NBCD_MZ14_BAW_height.tif"
6021,0.279878873239436,0,0,0,"NBCD_MZ15_BAW_height.tif"
6022,0.425144600938967,145,127.833333333333,142.166666666667,"NBCD_MZ15_BAW_height.tif"
6023,0.499259624413146,75,78.1666666666667,1871.76666666667,"NBCD_MZ15_BAW_height.tif"
6024,0.25223782211865,0,0,0,"NBCD_MZ14_BAW_height.tif"
6025,0.161565650702409,0,0,0,"NBCD_MZ14_BAW_height.tif"
6026,0.17934205538228,0,26,812.4,"NBCD_MZ14_BAW_height.tif"
6026,0.17934205538228,0,0,0,"NBCD_MZ15_BAW_height.tif"
6027,0.301211594202899,0,0,0,"NBCD_MZ14_BAW_height.tif"
6027,0.301211594202899,0,0,0,"NBCD_MZ15_BAW_height.tif"
6028,0.299018357487923,0,0,0,"NBCD_MZ25_BAW_height.tif"
6029,0.226276960784314,0,0,0,"NBCD_MZ15_BAW_height.tif"
6029,0.226276960784314,0,0,0,"NBCD_MZ25_BAW_height.tif"
6030,0.164193260046925,0,0,0,"NBCD_MZ14_BAW_height.tif"
6030,0.164193260046925,0,0,0,"NBCD_MZ15_BAW_height.tif"
6031,0.398599530516432,0,7.85714285714286,432.142857142857,"NBCD_MZ25_BAW_height.tif"
6032,0.394440579710145,0,0,0,"NBCD_MZ25_BAW_height.tif"
6033,0.317462254901961,0,0,0,"NBCD_MZ25_BAW_height.tif"
6051,0.323701801801802,0,0,0,"NBCD_MZ15_BAW_height.tif"
6052,0.412306306306306,201,196.666666666667,113.466666666667,"NBCD_MZ15_BAW_height.tif"
6053,0.178056888888889,0,0,0,"NBCD_MZ15_BAW_height.tif"
6053,0.178056888888889,0,0,0,"NBCD_MZ23_BAW_height.tif"
6054,0.197355111111111,0,0,0,"NBCD_MZ15_BAW_height.tif"
6054,0.197355111111111,0,0,0,"NBCD_MZ24_BAW_height.tif"
6055,0.238784234234234,0,0,0,"NBCD_MZ15_BAW_height.tif"
6055,0.238784234234234,0,0,0,"NBCD_MZ24_BAW_height.tif"
6056,0.199470784681844,0,0,0,"NBCD_MZ13_BAW_height.tif"
6057,0.276627536515389,0,0,0,"NBCD_MZ14_BAW_height.tif"
6057,0.276627536515389,0,0,0,"NBCD_MZ15_BAW_height.tif"
6058,0.414844748858448,54,37.6666666666667,853.066666666667,"NBCD_MZ15_BAW_height.tif"
6059,0.516358447488584,0,0,0,"NBCD_MZ15_BAW_height.tif"
6060,0.162206232259657,0,0,0,"NBCD_MZ15_BAW_height.tif"
6060,0.162206232259657,0,0,0,"NBCD_MZ24_BAW_height.tif"
6061,0.220180821917808,0,0,0,"NBCD_MZ15_BAW_height.tif"
6061,0.220180821917808,0,0,0,"NBCD_MZ24_BAW_height.tif"
6063,0.193189488375768,0,0,0,"NBCD_MZ14_BAW_height.tif"
6063,0.193189488375768,0,0,0,"NBCD_MZ15_BAW_height.tif"
6064,0.385755092592593,0,0,0,"NBCD_MZ15_BAW_height.tif"
6065,0.570631455399061,97,122.666666666667,1965.46666666667,"NBCD_MZ15_BAW_height.tif"
6066,0.373231428571429,0,0,0,"NBCD_MZ15_BAW_height.tif"
6066,0.373231428571429,0,0,0,"NBCD_MZ24_BAW_height.tif"
6067,0.539792792792793,100,124.666666666667,392.666666666667,"NBCD_MZ15_BAW_height.tif"
6068,0.17833430343374,52,43.8333333333333,461.766666666667,"NBCD_MZ13_BAW_height.tif"
6068,0.17833430343374,52,43.8333333333333,461.766666666667,"NBCD_MZ14_BAW_height.tif"
6069,0.272612054047899,0,0,0,"NBCD_MZ14_BAW_height.tif"
6069,0.272612054047899,0,0,0,"NBCD_MZ15_BAW_height.tif"
6070,0.288634795576606,0,0,0,"NBCD_MZ14_BAW_height.tif"
6070,0.288634795576606,0,0,0,"NBCD_MZ15_BAW_height.tif"
6071,0.323129468599034,0,0,0,"NBCD_MZ14_BAW_height.tif"
6071,0.323129468599034,0,0,0,"NBCD_MZ15_BAW_height.tif"
6072,0.309746883230904,0,0,0,"NBCD_MZ15_BAW_height.tif"
6073,0.530213063063063,176,183.166666666667,207.366666666667,"NBCD_MZ15_BAW_height.tif"
6074,0.249138458345976,51,16.8333333333333,680.166666666667,"NBCD_MZ13_BAW_height.tif"
6074,0.249138458345976,51,16.6666666666667,667.066666666667,"NBCD_MZ14_BAW_height.tif"
6076,0.213947549019608,0,0,0,"NBCD_MZ14_BAW_height.tif"
6076,0.213947549019608,0,0,0,"NBCD_MZ15_BAW_height.tif"
6077,0.259211764705882,0,0,0,"NBCD_MZ14_BAW_height.tif"
6077,0.259211764705882,0,0,0,"NBCD_MZ15_BAW_height.tif"
6078,0.355121917808219,0,0,0,"NBCD_MZ15_BAW_height.tif"
6078,0.355121917808219,0,0,0,"NBCD_MZ25_BAW_height.tif"
6079,0.327526470588235,140,153.142857142857,138.47619047619,"NBCD_MZ15_BAW_height.tif"
6080,0.161241255656843,0,0,0,"NBCD_MZ14_BAW_height.tif"
6080,0.161241255656843,0,0,0,"NBCD_MZ15_BAW_height.tif"
6081,0.362354285714286,0,0,0,"NBCD_MZ14_BAW_height.tif"
6081,0.362354285714286,0,0,0,"NBCD_MZ25_BAW_height.tif"
6082,0.303249047619048,0,0,0,"NBCD_MZ14_BAW_height.tif"
6083,0.308317142857143,0,0,0,"NBCD_MZ25_BAW_height.tif"
6101,0.293389777777778,0,0,0,"NBCD_MZ15_BAW_height.tif"
6101,0.293389777777778,0,0,0,"NBCD_MZ23_BAW_height.tif"
6103,0.20192100456621,0,0,0,"NBCD_MZ15_BAW_height.tif"
6103,0.20192100456621,0,0,0,"NBCD_MZ24_BAW_height.tif"
6105,0.40216036036036,0,0,0,"NBCD_MZ15_BAW_height.tif"
6105,0.40216036036036,0,8.5,433.5,"NBCD_MZ24_BAW_height.tif"
6106,0.144231449814271,0,0,0,"NBCD_MZ13_BAW_height.tif"
6107,0.300243693693694,0,0,0,"NBCD_MZ15_BAW_height.tif"
6108,0.338981944444444,0,0,0,"NBCD_MZ15_BAW_height.tif"
6115,0.50155619047619,124,83.1666666666667,4299.36666666667,"NBCD_MZ15_BAW_height.tif"
6116,0.323995045045045,0,0,0,"NBCD_MZ15_BAW_height.tif"
6116,0.323995045045045,0,0,0,"NBCD_MZ24_BAW_height.tif"
6119,0.161153852881955,0,0,0,"NBCD_MZ14_BAW_height.tif"
6121,0.299704285714286,0,0,0,"NBCD_MZ14_BAW_height.tif"
6121,0.299704285714286,0,0,0,"NBCD_MZ15_BAW_height.tif"
6122,0.365163809523809,0,0,0,"NBCD_MZ15_BAW_height.tif"
6123,0.499259624413146,0,8.83333333333333,468.166666666667,"NBCD_MZ15_BAW_height.tif"
6126,0.16617705831413,0,0,0,"NBCD_MZ14_BAW_height.tif"
6126,0.16617705831413,0,0,0,"NBCD_MZ15_BAW_height.tif"
6127,0.292654054054054,0,0,0,"NBCD_MZ14_BAW_height.tif"
6127,0.292654054054054,0,0,0,"NBCD_MZ15_BAW_height.tif"
6130,0.181414661903409,0,0,0,"NBCD_MZ14_BAW_height.tif"
6133,0.313652450980392,0,0,0,"NBCD_MZ25_BAW_height.tif"
6170,0.288634795576606,0,0,0,"NBCD_MZ14_BAW_height.tif"
6170,0.288634795576606,0,0,0,"NBCD_MZ15_BAW_height.tif"
6172,0.308622286160841,0,0,0,"NBCD_MZ15_BAW_height.tif"
