"species_id","aou","english_common_name","french_common_name","spanish_common_name","sporder","family","genus","species"
754,4123,"(unid. Red/Yellow Shafted) Northern Flicker","Pic flamboyant (groupe non identifié)","Colaptes auratus","Piciformes","Picidae","Colaptes","auratus"
755,4120,"(Yellow-shafted Flicker) Northern Flicker","Pic flamboyant (groupe auratus)","Colaptes auratus auratus","Piciformes","Picidae","Colaptes","auratus auratus"
756,4130,"(Red-shafted Flicker) Northern Flicker","Pic flamboyant (groupe cafer)","Colaptes auratus cafer","Piciformes","Picidae","Colaptes","auratus cafer"
757,4125,"hybrid Northern Flicker (Red x Yellow-shafted)","hybride Pic flamboyant (cafer x auratus)","Colaptes auratus auratus x auratus cafer","Piciformes","Picidae","Colaptes","auratus auratus x auratus cafer"
758,4140,"Gilded Flicker","Pic chrysoïde","Colaptes chrysoides","Piciformes","Picidae","Colaptes","chrysoides"
761,4050,"Pileated Woodpecker","Grand Pic","Dryocopus pileatus","Piciformes","Picidae","Dryocopus","pileatus"
762,3920,"unid. Woodpecker","unid Pic sp.","Woodpecker sp.","Piciformes","Picidae","Woodpecker","sp."
780,3824,"Monk Parakeet","Conure veuve","Myiopsitta monachus","Psittaciformes","Psittacidae","Myiopsitta","monachus"
783,51830,"Nanday Parakeet","Conure nanday","Aratinga nenday","Psittaciformes","Psittacidae","Aratinga","nenday"
797,52021,"Yellow-chevroned Parakeet","Toui à ailes jaunes","Brotogeris chiriri","Psittaciformes","Psittacidae","Brotogeris","chiriri"
798,3827,"unid. White-winged / Yellow-chevroned Parakeet","Toui à ailes variées / Toui à ailes jaunes","Brotogeris versicolurus / chiriri","Psittaciformes","Psittacidae","Brotogeris","versicolurus / chiriri"
803,3826,"Red-crowned Parrot","Amazone à joues vertes","Amazona viridigenalis","Psittaciformes","Psittacidae","Amazona","viridigenalis"
810,3823,"Rose-ringed Parakeet","Perruche à collier","Psittacula krameri","Psittaciformes","Psittaculidae","Psittacula","krameri"
812,3822,"Budgerigar","Perruche ondulée","Melopsittacus undulatus","Psittaciformes","Psittaculidae","Melopsittacus","undulatus"
